ws_source_ip,time,train_id,train_speed,obm_color,obm_direction,kp_in_track,obm_source_ip,scanned_mac_address,rssi_dbm,crssi_dbm
10.69.117.24 ,2021-03-10 10:39:14.837469,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:14.837469,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:15.435881,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:15.435881,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:16.009161,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:16.009161,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:16.637149,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:16.637149,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:17.237365,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:17.237365,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:17.838555,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:17.838555,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:18.409089,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:18.409089,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:19.009028,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:19.009028,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:19.637138,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:19.637138,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:20.237840,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:20.237840,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:20.836277,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:20.836277,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:21.408992,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:21.408992,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:22.009039,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:22.009039,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:22.637857,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:22.637857,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:23.237323,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:23.237323,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:23.837193,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:23.837193,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:24.410886,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:24.410886,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:25.008792,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:25.008792,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:25.637185,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:25.637185,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:26.237263,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:26.237263,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:26.808791,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:26.808791,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:27.408968,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:27.408968,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:28.037335,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:28.037335,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:28.610793,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:28.610793,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:29.236040,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:29.236040,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:29.808811,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:29.808811,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:30.409153,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:30.409153,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:31.037424,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:31.037424,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:31.637079,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:31.637079,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:32.236919,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:32.236919,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:32.809086,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:32.809086,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:33.408815,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:33.408815,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:34.038018,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:34.038018,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:34.610467,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:34.610467,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:35.209109,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:35.209109,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:35.808990,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:35.808990,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:36.437220,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:36.437220,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:37.010823,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:37.010823,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:37.636173,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:37.636173,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:38.208987,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:38.208987,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:38.808914,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:38.808914,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:39.437774,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:39.437774,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:40.038293,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:40.038293,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:40.610853,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:40.610853,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:41.209030,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:41.209030,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:41.808817,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:41.808817,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:42.439044,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:42.439044,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:43.010877,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:43.010877,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
10.69.117.24 ,2021-03-10 10:39:43.609109,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:43.609109,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:3d,,-57.0
10.69.117.24 ,2021-03-10 10:39:44.209007,117.0,0.0,blue,Head,1237655.0,,00:14:5a:02:3d:9b,,-57.0
